restaurant_id,name,address,phone,city
1,"Osinski, Ratke and Erdman",46822 Davis Ferry,1-212-225-5630,New Titochester
2,Quigley - Nader,31940 Dewitt Knolls,662-501-5018 x54945,South Myrl
3,Grady Inc,90723 Dale Street,620-389-8637 x424,Karlshire
4,Treutel LLC,3093 Kamren Shoals,1-988-688-9373,West Zacharymouth
5,"Satterfield, Larkin and Kunze",2042 Wellington Street,1-600-858-2114,Percivalshire
6,"Little, Toy and Ullrich",605 Waverley Road,1-468-278-1280,Rockyville
7,"Bergstrom, Beier and Paucek",664 Lula Keys,(558) 935-1366 x646,Port Maude
8,VonRueden LLC,81546 Arno Ranch,744-764-3036,Rosannaborough
9,Schamberger - Wintheiser,838 Donnelly Fort,226-932-6646,New Nicholauscester
10,Beatty and Sons,10198 State Avenue,(208) 416-0971 x28725,Orland Park
11,Grant and Sons,595 Oak Avenue,463-968-7962 x10458,Moreno Valley
12,Osinski - Mraz,5625 Wilber Court,1-223-599-0439 x59224,North Lauderdale
13,Langosh and Sons,8255 Abbey Gateway,1-570-506-1896 x595,Kuhiccester
14,Dach - Sporer,19293 Marlon Ways,492.936.3358,Clifton
15,Leffler - Homenick,57569 Shields Wells,(348) 439-7982,Arnaldoview
16,Russel Inc,5827 Verdie Street,999-366-0609,South Veldaview
17,Bode Inc,596 Ericka Landing,889.594.5611,Port Luellaborough
18,Boyer and Sons,35498 Selina Squares,(848) 221-3405 x651,Kassulkeside
19,Beahan LLC,73869 Zieme Terrace,482-890-6896 x2455,Gloverport
20,"Ward, Nader and Altenwerth",4269 Dicki Coves,(398) 470-1923 x517,Micheleview
