id,restaurant_id,name,description,created_at,updated_at
1,5,Bespoke Ceramic Cheese,Innovative Towels featuring tempting technology and Concrete construction,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
2,5,Oriental Marble Table,The Adaptive next generation focus group Bike offers reliable performance and nocturnal design,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
3,15,Elegant Steel Pants,New turquoise Soap with ergonomic design for boring comfort,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
4,8,Modern Wooden Cheese,"New Chicken model with 34 GB RAM, 124 GB storage, and bossy features",Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
5,15,Rustic Gold Bike,Discover the smug new Chicken with an exciting mix of Concrete ingredients,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
6,6,Incredible Steel Fish,"Featuring Tungsten-enhanced technology, our Salad offers unparalleled joyous performance",Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
7,13,Fresh Ceramic Table,"Savor the creamy essence in our Ball, designed for punctual culinary adventures",Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
8,14,Soft Silk Fish,The silver Chips combines Kiribati aesthetics with Scandium-based durability,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
9,11,Recycled Wooden Chicken,Stylish Keyboard designed to make you stand out with any looks,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
10,9,Fresh Rubber Cheese,Our crunchy-inspired Mouse brings a taste of luxury to your lone lifestyle,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
11,12,Practical Bamboo Fish,Professional-grade Salad perfect for elliptical training and recreational use,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
12,11,Frozen Bamboo Soap,Our elephant-friendly Bacon ensures shocked comfort for your pets,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
13,4,Awesome Concrete Chips,Our juicy-inspired Bacon brings a taste of luxury to your handsome lifestyle,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
14,3,Rustic Metal Chicken,The Progressive intermediate application Tuna offers reliable performance and cheerful design,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
15,20,Luxurious Aluminum Pants,Our whale-friendly Hat ensures robust comfort for your pets,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
16,12,Generic Bronze Hat,"Savor the sour essence in our Hat, designed for light culinary adventures",Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
17,16,Practical Metal Shirt,Stylish Table designed to make you stand out with wiggly looks,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
18,2,Unbranded Plastic Fish,The sleek and wretched Ball comes with mint green LED lighting for smart functionality,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
19,1,Generic Rubber Bacon,Windler - Goodwin's most advanced Car technology increases slimy capabilities,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
20,19,Practical Bamboo Ball,Our dolphin-friendly Pants ensures concerned comfort for your pets,Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:12:00 GMT+0000 (Coordinated Universal Time)
