id,name,address,city,phone,owner_id,created_at,updated_at
1,"MacGyver, Dibbert and Boyer",889 Josephine Island,Yvettetown,730-575-2644 x48352,1,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
2,Gutkowski - Gutkowski,892 Stiedemann Park,New Omaview,893.958.0397 x07463,5,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
3,Nienow Inc,232 Homenick Fork,Auershire,1-231-812-5475 x0988,17,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
4,Tremblay - Bayer,7924 Adams Street,East Amani,1-208-654-4201 x76098,14,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
5,Breitenberg LLC,199 Fisher Lake,Swaniawskifield,815-726-7478 x335,17,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
6,Treutel - Barrows,679 Hawthorn Close,Karinastad,(483) 967-1691 x91613,15,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
7,Sawayn Group,6404 Ortiz Center,West Darwin,285-847-6463,13,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
8,"Wyman, Keebler and O'Hara",28420 Macejkovic Meadows,South Jamirtown,(698) 547-6175,10,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
9,O'Keefe Inc,796 O'Kon Cliffs,New Grayson,544.389.0201 x496,15,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
10,Rath and Sons,632 Victor Lock,Macon-Bibb County,(487) 491-1650 x80743,1,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
11,Bailey Inc,3923 Ova Common,South Magnoliacester,310.652.6102 x25342,10,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
12,"White, Roberts and Wolf",3422 Sanford Summit,Port Isobelhaven,1-700-979-5574 x5042,4,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
13,O'Connell - Cormier,723 Lafayette Street,Everett,576-328-8188 x01401,4,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
14,Berge Group,76607 Feil Station,Lamontfurt,(320) 579-2416 x04072,1,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
15,"Yundt, Wintheiser and Stracke",88740 Ada Village,Waltham,1-304-769-8262 x323,10,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
16,Weimann - Heathcote,11711 Shana Coves,Lancaster,1-616-466-1409 x040,16,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
17,"Friesen, Cremin and Dare",9687 Kim Lakes,Imogeneworth,(374) 835-6470,11,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
18,Treutel - Schmidt,36252 Riverside,Scotland,859-712-9249 x2539,18,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
19,Will - Yost,55771 Kylee Freeway,Dillonburgh,1-845-789-1906 x71543,19,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
20,Bechtelar - Tromp,812 Beier Plains,Yasmincester,610-777-5236 x5838,18,Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 19:11:57 GMT+0000 (Coordinated Universal Time)
