id,restaurant_id,name,description,created_at,updated_at
4,3,Menú del día,"Incluye entrada, plato fuerte y bebida.",Mon Mar 24 2025 21:57:36 GMT-0600 (hora estándar central),Mon Mar 24 2025 21:57:36 GMT-0600 (hora estándar central)
5,5,Bruschette With Tomato,A simple longan pie. No fancy stuff. Just pie.,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
6,3,Chilli Con Carne,A special purple blue swimmer crab from Trinidad and Tobago. To support the strong flavor it is sided with a tablespoon of celery.,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
7,5,Blood Orange-infused Kangaroo Roast,"A classic pie filled with delicious crocodile and savory rockmelon, baked in a moist pastry crust and topped with a golden-brown lattice.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
8,3,Barbecue Ribs,"A delightful tart combining crunchy iceberg lettuce and sweet grapefruit, set in a buttery pastry shell and finished with a hint of turmeric.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
9,3,Rich Quail With Rhubarb,"A succulent kangaroo steak, encased in a tender piri piri crust, served with a side of colombo mashed jicama.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
10,3,Pho,"Three sardines with fresh chillies, leeks, raspberry, bok choy and trout. With a side of baked butternut pumpkin, and your choice of plums or black eyed beans.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
11,5,Duck Steak,"Fresh mixed greens tossed with basil-rubbed quail, french eschallots, and a light dressing.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
12,5,Kebab,"Tender quail skewers, glazed with a sweet and tangy custard apples daikon sauce, served over a bed of fragrant jasmine rice.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
13,5,Blueberry Pie,"Juicy emu, grilled to your liking and drizzled with a bold anise star sauce, served alongside roasted sweet potato.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
14,5,Poke,"A robust creamy stew featuring Egyptian flavors, loaded with golden meat, spicy vegetables, and a spicy, smoky broth.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
15,5,Onion Salad,"Fresh mixed greens tossed with chillies-rubbed venison, rhubarb, and a light dressing.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
16,5,Peking Duck,"Hearty asparagus and turkey stew, slow-cooked with turmeric and cucumber for a comforting, flavorful meal.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
17,3,Poutine,"Our crispy ostrich, slow-cooked to perfection, accompanied by steamed english spinach and a rich, savory gravy.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
18,3,Pomegranate And Cumquat Tart,"A robust delicious stew featuring Native American flavors, loaded with tender meat, golden vegetables, and a savory, tangy broth.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
19,3,Buckwheat Flour-infused Ostrich,"An exquisite pork roast, infused with the essence of berry, slow-roasted to bring out its natural flavors and served with a side of creamy sun dried tomatoes",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
20,5,Starfruit Pie,A special azure buttermilk from Denmark. To support the strong flavor it is sided with a tablespoon of green cardamom.,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
21,5,Kebab,"Tender salmon skewers, glazed with a sweet and tangy cumquat sauce, served over a bed of fragrant jasmine rice.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
22,5,Tagine-crusted Goose,"A delightful tart combining savory cornichons and sweet passionfruit, set in a buttery pastry shell and finished with a hint of bbq.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
23,5,Strawberry-glazed Pork Skewers,"A succulent beef steak, encased in a sour sweet laurel crust, served with a side of lavender mashed rhubarb.",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
