id,name,description,price,category,restaurant_id,is_active,created_at,updated_at
1,Hamburguesa Clásica,"Carne, queso, lechuga y tomate",5.99,Comida rápida,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
2,Papas Fritas,Papas crujientes con sal,2.49,Acompañamientos,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
3,Coca-Cola,Bebida gaseosa 355ml,1.99,Bebidas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
4,Pizza Margarita,"Salsa de tomate, queso mozzarella y albahaca",7.99,Italiana,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
5,Ensalada César,"Lechuga romana, crutones, queso parmesano",4.99,Ensaladas,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
6,Jugo Natural de Naranja,Exprimido al momento,2.79,Bebidas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
7,Taco al Pastor,"Cerdo marinado, piña y cebolla",3.99,Mexicana,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
8,Quesadilla de Pollo,Tortilla con queso y pollo,4.49,Mexicana,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
9,Agua Mineral,Botella 500ml,1.29,Bebidas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
10,Sushi Roll,"Arroz, alga, salmón y aguacate",8.99,Japonesa,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
11,Tempura de Camarón,Camarones empanizados y fritos,6.99,Japonesa,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
12,Ramen,Sopa de fideos con cerdo y huevo,7.49,Japonesa,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
13,Pollo a la Parrilla,Pechuga de pollo asada,5.49,Parrilla,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
14,Costillas BBQ,Costillas de cerdo con salsa BBQ,9.99,Parrilla,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
15,Ensalada Mixta,"Lechuga, tomate, zanahoria y pepino",3.99,Ensaladas,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
16,Spaghetti Boloñesa,Pasta con salsa de carne,6.99,Italiana,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
17,Lasaña,"Capas de pasta, carne y queso",7.99,Italiana,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
18,Pan de Ajo,Pan horneado con ajo y mantequilla,2.49,Acompañamientos,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
19,Nachos con Queso,Totopos con queso fundido,3.99,Mexicana,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
20,Guacamole,"Aguacate, tomate, cebolla y limón",2.99,Mexicana,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
